Campo	Titulo	Descricao	Tipo	Contexto	Tamanho
C7_FILIAL	Filial	Filial do Sistema	C	Real	2
C7_TIPCLEG	Legenda	Legenda	C	Virtual	13
C7_TIPO	Tipo	Controle de PC ou AE	N	Real	1
C7_ITEM	Item	Item do pedido de compra	C	Real	4
C7_PRODUTO	Produto	Codigo do produto	C	Real	15
C7_UM	Unidade	Unidade de medida	C	Real	2
C7_SEGUM	Segunda UM	Segunda Unidade de Medida	C	Real	2
C7_QUANT	Quantidade	Quantidade pedida	N	Real	12, 2
C7_CODTAB	Tab.Preco	Tabela de Preco	C	Real	3
C7_PRECO	Prc Unitario	Preco unitario do item	N	Real	14, 2
C7_TOTAL	Vlr.Total	Valor total do item	N	Real	14, 2
C7_QTSEGUM	Qtd. 2a UM	Qtde na Segunda Unidade	N	Real	12, 2
C7_IPI	Aliq. IPI	Aliquota de IPI	N	Real	5, 2
C7_NUMSC	Numero da SC	Numero da solicita.compra	C	Real	6
C7_ITEMSC	Item da SC	Item da solicita.compra	C	Real	4
C7_DINITRA	Dt. Ini. Tra	Data inicio de transito	D	Real	8
C7_DINICOM	Dt. Ini. Com	Data p/ inicio da compra	D	Real	8
C7_DINICQ	Dt. Ini. CQ	Data inicio de CQ	D	Real	8
C7_DATPRF	Dt. Entrega	Data Entrega	D	Real	8
C7_LOCAL	Armazem	Armazem	C	Real	2
C7_OBSM	Observacoes	Observacoes do item	M	Real	50
C7_OBS	Observacoes	Observacoes	C	Real	30
C7_FORNECE	Fornecedor	Codigo do fornecedor	C	Real	6
C7_LOJA	Loja	Loja do fornecedor	C	Real	2
C7_CONTA	Cta Contabil	Conta Contabil do Produto	C	Real	20
C7_ITEMCTA	Item Conta	Item da Conta Contabil	C	Real	9
C7_CC	Centro Custo	Centro de Custo	C	Real	9
C7_COND	Cond. Pagto	Codigo da condicao de Pgt	C	Real	3
C7_CONTATO	Contato	Contato	C	Real	15
C7_FILENT	Filial Entr.	Filial para Entrega	C	Real	2
C7_DESC1	Desconto 1	Desconto 1 em cascata	N	Real	5, 2
C7_DESC2	Desconto 2	Desconto 2 em cascata	N	Real	5, 2
C7_DESC3	Desconto 3	Desconto 3 em cascata	N	Real	5, 2
C7_EMISSAO	DT Emissao	Data de Emissao	D	Real	8
C7_NUM	Numero PC	Numero do pedido de compr	C	Real	6
C7_QUJE	Qtd.Entregue	Quantidade ja' entregue	N	Real	12, 2
C7_REAJUST	Reajuste	Codigo da formula do reaj	C	Real	3
C7_FRETE	Vlr.Frete	Valor do frete combinado	N	Real	14, 2
C7_EMITIDO	Ja' emitiu	'S' se ja'emitiu	C	Real	1
C7_DESCRI	Descricao	Descricao do Produto	C	Real	50
C7_TPFRETE	Tipo Frete	Tipo do Frete Utilizado	C	Real	1
C7_QTDREEM	Reemissao	Quantidade de Reemissoes	N	Real	2
C7_CODLIB	Liberacao	Codigo de Liberacao	C	Real	10
C7_RESIDUO	Resid. Elim.	PC com Residuo Eliminado.	C	Real	1
C7_NUMCOT	Num.Cotacao	Numero da Cotacao	C	Real	6
C7_MSG	Mensagem	Mensagem para Pedido	C	Real	3
C7_TX	Transmissao	Flag para Transmissao	C	Real	2
C7_CONTROL	Controle	Campo de Controle	C	Real	1
C7_IPIBRUT	Cons. Desc.	Considera Desconto p/IPI	C	Real	1
C7_ENCER	Ped. Encerr.	Pedido Encerrado	C	Real	1
C7_OP	OP.	Ordem de Producao	C	Real	14
C7_VLDESC	Vl. Desconto	Valor do Desconto do item	N	Real	14, 2
C7_SEQUEN	Sequencia	Sequencia	C	Real	4
C7_NUMIMP	Num.Purch.Or	Numero do Purch. Order	C	Real	20
